Адыгейск;Адыгея респ.;;385200
Афипсип;Адыгея респ.;;385123
Козет;Адыгея респ.;;385129
Кошехабль;Адыгея респ.;;385400
Майкоп;Адыгея респ.;;385000
Натырбово;Адыгея респ.;;385434
Псекупс;Адыгея респ.;;385239
Тахтамукай;Адыгея респ.;;385100
Тлюстенхабль;Адыгея респ.;;385228
Энем;Адыгея респ.;;385130
Яблоновский;Адыгея респ.;;385140
Горно-Алтайск;Алтай респ.;;649000
Майма;Алтай респ.;;649100
Алейск;Алтайский край;;658135
Алтайское;Алтайский край;;659650
Баево;Алтайский край;;658510
Барнаул;Алтайский край;*;656000,656002,656003,656004,656006,656008,656010,656011,656012,656015,656016,656018,656019,656021,656023,656024,656025,656031,656033,656035,656036,656037,656038,656039,656040,656043,656044,656045,656047,656048,656049,656050,656052,656053,656054,656055,656
Белокуриха;Алтайский край;;659900
Бийск;Алтайский край;;659300
Благовещенка;Алтайский край;;658670
Бурла;Алтайский край;;658810
Быстрый Исток;Алтайский край;;659564
Верх-Суетка;Алтайский край;;658690
Веселоярск;Алтайский край;;658248
Власиха;Алтайский край;;656902
Волчиха;Алтайский край;;658930
Гальбштадт;Алтайский край;;658870
Горняк;Алтайский край;;658420
Ельцовка;Алтайский край;;658157
Завьялово;Алтайский край;;658620
Залесово;Алтайский край;;
Заринск;Алтайский край;;659100
Змеиногорск;Алтайский край;;658480
Зональное;Алтайский край;;659400
Калманка;Алтайский край;;659040
Камень-на-Оби;Алтайский край;;658700
Ключи;Алтайский край;;644516.65898
Косиха;Алтайский край;;659820
Красногорское;Алтайский край;;659500
Краснощеково;Алтайский край;;658340
Крутиха;Алтайский край;;658750
Кулунда;Алтайский край;;658920
Курья;Алтайский край;;658320
Кытманово;Алтайский край;;659240
Мало-Енисейское;Алтайский край;;659370
Мамонтово;Алтайский край;;658560
Михайловское;Алтайский край;;658960
Новичиха;Алтайский край;;659730
Новоалтайск;Алтайский край;;658080,658081,658082,658083,658084,658085,658087,658089,658090,658091,658095,658099
Новоегорьевское;Алтайский край;;658280
Новосиликатный;Алтайский край;;656922
Павловск;Алтайский край;;659000
Панкрушиха;Алтайский край;;658760
Петропавловское;Алтайский край;;659660
Поспелиха;Алтайский край;;659700
Ребриха;Алтайский край;;658540
Родино;Алтайский край;;659780
Романово;Алтайский край;;658640
Рубцовск;Алтайский край;;658200
Сибирский;Алтайский край;;658076
Славгород;Алтайский край;;658825
Советское;Алтайский край;;659540
Солонешное;Алтайский край;;659690
Солтон;Алтайский край;;659520
Староалейское;Алтайский край;;658450
Степное Озеро;Алтайский край;;658655
Табуны;Алтайский край;;658860
Тальменка;Алтайский край;;658030
Тогул;Алтайский край;;659450
Топчиха;Алтайский край;;659070
Троицкое;Алтайский край;;659840
Тюменцево;Алтайский край;;658580
Угловское;Алтайский край;;658270
Усть-Калманка;Алтайский край;;658150
Усть-Чарышская Пристань;Алтайский край;;659580
Хабары;Алтайский край;;658780
Целинное;Алтайский край;;659430
Чарышское;Алтайский край;;658170
Шелаболиха;Алтайский край;;659050
Шипуново;Алтайский край;;658390
Южный;Алтайский край;;656906
Яровое;Алтайский край;;658837
Белогорск;Амурская обл.;;676850
Благовещенск;Амурская обл.;*;675000
Богородское;Амурская обл.;;676932
Дактуй;Амурская обл.;;676140
Завитинск;Амурская обл.;;676870
Зея;Амурская обл.;;676246
Ивановка;Амурская обл.;;676930
Магдагачи;Амурская обл.;;676124
Невер;Амурская обл.;;676055
Новобурейский;Амурская обл.;;
Райчихинск;Амурская обл.;;676770
Свободный;Амурская обл.;;676450
Серышево;Амурская обл.;;676350
Сковородино;Амурская обл.;;676010
Талакан;Амурская обл.;;680520
Тыгда;Амурская обл.;;676150
Тында;Амурская обл.;;676290
Углегорск;Амурская обл.;;676470
Шимановск;Амурская обл.;;676300
Архангельск;Архангельская обл.;*;163000
Архангельск-55;Архангельская обл.;;163055
Березник;Архангельская обл.;;164570
Васьково;Архангельская обл.;;163512
Вельск;Архангельская обл.;;165150
Верхняя Тойма;Архангельская обл.;;165500
Ильинско-Подомское;Архангельская обл.;;165680
Каргополь;Архангельская обл.;;164110
Коноша;Архангельская обл.;;164010
Коряжма;Архангельская обл.;;165650
Котлас;Архангельская обл.;;165300
Красноборск;Архангельская обл.;;165430
Мезень;Архангельская обл.;;164750
Мирный;Архангельская обл.;;164170
Мухонская;Архангельская обл.;;
Новодвинск;Архангельская обл.;;164900
Няндома;Архангельская обл.;;164200
Обозерский;Архангельская обл.;;164254
Октябрьский;Архангельская обл.;;165210
Онега;Архангельская обл.;;164840
Плесецк;Архангельская обл.;;164260
Савинский;Архангельская обл.;;164288
Северодвинск;Архангельская обл.;;164500
Североонежск;Архангельская обл.;;164268
Соловецкий;Архангельская обл.;;164070
Холмогоры;Архангельская обл.;;164530
Цигломень;Архангельская обл.;;163044
Астрахань;Астраханская обл.;*;414000,414004,414006,414022,414024,414038,414040,414041,414042,414045,414052,414056,414057
Ахтубинск;Астраханская обл.;;416500
Верхний Баскунчак;Астраханская обл.;;416530
Володарский;Астраханская обл.;;416170
Енотаевка;Астраханская обл.;;416200
Замьяны;Астраханская обл.;;416206
Знаменск;Астраханская обл.;;416541
Икряное;Астраханская обл.;;416370
Камызяк;Астраханская обл.;;416340
Красные Баррикады;Астраханская обл.;;416356
Красный Яр;Астраханская обл.;;416150
Лиман;Астраханская обл.;;416410
Нариманов;Астраханская обл.;;416111
Началово;Астраханская обл.;;416450
Нижний Баскунчак;Астраханская обл.;;416532
Осыпной Бугор;Астраханская обл.;;416471
Средний Баскунчак;Астраханская обл.;;416531
Харабали;Астраханская обл.;;416010
Черный Яр;Астраханская обл.;;416230
Авдон;Башкортостан респ.;;450580
Агидель;Башкортостан респ.;;452925
Азово;Башкортостан респ.;;453039
Аксаково село;Башкортостан респ.;;452020
Аксеново;Башкортостан респ.;;452130
Актау;Башкортостан респ.;;453676
Акъяр;Башкортостан респ.;;453800
Алексеевка;Башкортостан респ.;;452057
Архангельское;Башкортостан респ.;;453030
Аскарово;Башкортостан респ.;;453620
Аскино;Башкортостан респ.;;452880
Аэропорт;Башкортостан респ.;;
Баймак;Башкортостан респ.;;453630
Бакалы;Башкортостан респ.;;452650
Белебей;Башкортостан респ.;;452000
Белорецк;Башкортостан респ.;;453500
Бижбуляк;Башкортостан респ.;;452040
Бирск;Башкортостан респ.;;452450
Благовещенск;Башкортостан респ.;;453430
Большеустьикинское;Башкортостан респ.;;452550
Буздяк;Башкортостан респ.;;452710
Бураево;Башкортостан респ.;;452960
Верхнеяркеево;Башкортостан респ.;;452260
Верхние Киги;Башкортостан респ.;;452500
Верхние Татышлы;Башкортостан респ.;;452830
Давлеканово;Башкортостан респ.;;453400
Дема;Башкортостан респ.;;
Дюртюли;Башкортостан респ.;;452320
Ермекеево;Башкортостан респ.;;452190
Ермолаево;Башкортостан респ.;;453360
Жуково;Башкортостан респ.;;450570
Зилаир;Башкортостан респ.;;453680
Зубово;Башкортостан респ.;;450520
Иглино;Башкортостан респ.;;452410
Исянгулово;Башкортостан респ.;;453380
Ишимбай;Башкортостан респ.;;453200
Калтасы;Башкортостан респ.;;452860
Караидель;Башкортостан респ.;;452360
Кармаскалы;Башкортостан респ.;;453020
Киргиз-Мияки;Башкортостан респ.;;452080
Красная Горка;Башкортостан респ.;;452440
Красноусольский;Башкортостан респ.;;453050
Красный Ключ;Башкортостан респ.;;452431
